what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1276621123394
locale,sysinfo,,,"en_SG",1276621123394
processors,sysinfo,,,"2",1276621123394
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1276621123394
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1276621123394
java.specification.name,sysinfo,,,"Java Platform API Specification",1276621123394
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276621123394
java.specification.version,sysinfo,,,"1.6",1276621123394
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1276621123394
java.version,sysinfo,,,"1.6.0_20",1276621123394
java.vm.info,sysinfo,,,"mixed mode, sharing",1276621123394
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1276621123394
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1276621123394
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276621123394
java.vm.specification.version,sysinfo,,,"1.0",1276621123394
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1276621123394
java.vm.version,sysinfo,,,"16.3-b01",1276621123394
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1276621124518
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1276621125984
